signal,rebal,scheme,minvol,timing,win,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n,market
funding,W,rank,50000000.0,fund90,7.0,0.914261969586918,0.21452133081451252,0.23463879932732798,-0.544254567858539,53.51072317477347,0.1016733055341026,1.595557754337474,1673,
beta+funding,M,q20,50000000.0,none,0.75,0.9041373879493365,0.3712630995438679,0.4106268632314004,-0.6053661206504999,32.49373367971286,1.340754291790079,0.40819330047138935,2007,
beta+idvol,W,q20,50000000.0,disp63,0.75,0.9024049570647089,0.5282765426697065,0.5854096196324697,-0.7187862468839259,40.131268456676636,1.0349510850262063,0.7493542307006646,1734,
beta_horizon,W,q20,20000000.0,fund90,1095.0,0.9008517278924354,0.2600732104313978,0.28869702125103913,-0.5103374189471316,18.50864333665801,0.37695160792830634,1.3135005287227597,1673,
beta+funding,M,q20,50000000.0,fund90,0.5,0.8946562851083155,0.30650360642440755,0.3425936994197713,-0.3051757551749512,17.822738215213672,0.8143361564853943,0.9682987668684052,1673,
beta+idvol,W,rank,20000000.0,fund90,0.75,0.8939992043226086,0.2131376952164013,0.2384092672407887,-0.4025889081204363,15.782434855619698,0.6666825977886776,1.0820956347873947,1673,
beta+idvol,M,rank,20000000.0,fund63,0.25,0.8921483032854928,0.2054157027948776,0.23024838139398818,-0.29329508710234575,12.756756118917252,0.4498087456037103,1.2647218634303432,1704,
beta+idvol,W,rank,20000000.0,fund63,0.75,0.8850688171237358,0.22046468378324735,0.24909326768477213,-0.3920210710709684,17.02068383840328,0.5987671936672055,1.1206771150072132,1704,
beta+idvol,M,q20,50000000.0,disp63,0.5,0.8849248962607054,0.5021257884047023,0.5674219253254824,-0.9305941264707323,24.309517270860542,1.0646390105476327,0.6725208696133402,1734,
beta+funding,M,q20,50000000.0,none,0.25,0.8843787062060056,0.4077193639251075,0.4610234971330642,-0.5073417764756232,24.166624047993327,0.6854916870598037,1.0935622959980436,2007,
beta+funding,W,q20,5000000.0,none,0.75,0.8775261533430957,0.3296696184988928,0.3756806760037366,-0.4920048056994939,51.61009743607306,0.8086192934302298,0.9864612477225555,2021,
beta+idvol,W,q20,50000000.0,fund63,0.75,0.8772538137853044,0.32197703828497515,0.3670283710659073,-0.3969552951699933,23.483849942479925,1.0488721279375302,0.7253201562988313,1704,
beta+idvol,M,rank,5000000.0,fund63,0.75,0.8759667518062049,0.17703514883383867,0.2021025894747717,-0.30012610601894135,9.01591780512731,0.722790819130785,1.008385699891899,1704,
beta+idvol,M,rank,20000000.0,fund90,0.25,0.8743534497144587,0.19213724486083733,0.2197477975566796,-0.3068625595561867,11.763014134136554,0.3806375844835139,1.3037882195806187,1673,
beta+funding,M,q20,50000000.0,fund63,0.25,0.8725299807820832,0.33112358052499974,0.3794982267866607,-0.42654814602158897,16.565042673402612,0.24412377989279613,1.395811252753288,1704,
