signal,market,corr_win,vol_win,agg,shrink,rebal,scheme,minvol,timing,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n
beta,btceth,730,180,3.0,0.4,M,q20,20000000.0,fund63,1.2339022124693073,0.375442043732908,0.30427212135519766,-0.27654080998882447,14.360568518550934,0.5969172978078521,1.7454629281746528,1704
beta,eqw_top100,365,180,3.0,0.6,M,q20,50000000.0,none,1.232799076186091,0.6429625295108751,0.5215468943244242,-0.4606013164013856,23.349861434389776,1.0782098878696382,1.3917666535695583,2007
beta,eqw_top25,730,180,3.0,0.4,M,q20,20000000.0,fund90,1.232757142017105,0.41337605474962164,0.3353264326444972,-0.3600026053583196,14.174354057795862,0.8456173213039457,1.5515883954919514,1673
beta,eqw_top25,730,180,3.0,0.4,M,q20,20000000.0,none,1.2290854688315986,0.5109835138244914,0.4157428647417383,-0.4609198760283838,19.690608499943483,0.9218779566753275,1.5349020954095738,2007
beta,sqrt_advw,365,180,3.0,0.6,M,q20,50000000.0,none,1.2279462980996867,0.6057276835979104,0.4932851579383452,-0.4397860517273391,22.329247974309702,1.1260054010062868,1.3311554432160193,2007
beta,eqw_top100,365,180,3.0,0.8,M,q20,50000000.0,none,1.2263390301983166,0.687727963256246,0.5607975823333541,-0.5022736046031975,24.14254757789526,1.0848724683422235,1.3767298168719728,2007
beta,eqw_top100,730,180,3.0,0.4,M,rank,5000000.0,fund63,1.2262457898621901,0.2579359315197609,0.21034602822061363,-0.23183991572000717,9.701702487140347,0.2015641176036514,2.064377489323893,1704
beta,eqw_top100,730,180,3.0,0.8,M,q20,20000000.0,none,1.2232680143460433,0.5817075930192841,0.47553568490079734,-0.7306505048708882,20.16987635226044,1.0837247467915692,1.41935511393774,2007
beta,advw_top100,730,180,3.0,0.6,M,q20,20000000.0,fund90,1.2215389484871473,0.3597444649184806,0.2945010188696949,-0.26108049125959426,12.972231490168522,0.8779699179026886,1.522300407606024,1673
beta,advw_top100,730,180,3.0,0.6,M,q20,20000000.0,none,1.2199168678028791,0.4742107326351814,0.38872380991768274,-0.6343911987550783,18.41668139298648,0.9612002052345957,1.5227727602241548,2007
beta,sqrt_advw,365,180,3.0,0.8,M,q20,50000000.0,none,1.2196468644712621,0.6368892948694374,0.5221915567712624,-0.4687884077128057,22.745925884083864,1.1305322193045384,1.3126903138559405,2007
beta,eqw_top100,730,180,3.0,0.6,M,q20,20000000.0,none,1.216816899236703,0.5404133136170267,0.444120486784842,-0.6802992457094349,19.601452395186108,1.0281515223523794,1.4648480817826455,2007
beta,eqw_top25,730,180,3.0,0.6,M,q20,20000000.0,fund63,1.216643468013415,0.42608286375493754,0.3502117711203126,-0.37587423427616407,15.802842914302275,1.0091181821560766,1.3999219093539799,1704
beta,eqw,730,180,3.0,0.8,W,q20,50000000.0,fund90,1.2136572089260422,0.45227554271966297,0.3726550951894223,-0.318893244611492,23.45006992338747,0.741485801502633,1.6390199912754555,1673
beta,btceth,730,180,3.0,0.6,M,q20,20000000.0,fund90,1.2127184431405953,0.34290220965739493,0.28275500516787383,-0.24199338532392556,13.0347424656368,0.6008138862357579,1.7554718389361093,1673
totvol,advw,180,180,,,M,q20,20000000.0,fund63,1.2118482486546545,0.39403779481078893,0.3251544038193181,-0.47515674036765254,13.018451460950219,1.0459620690247053,1.358901368427121,1704
beta,advw_top100,730,180,3.0,0.8,M,q20,20000000.0,none,1.2095495418367237,0.49043062157612455,0.40546550977266826,-0.6569084591412218,18.41015401297998,0.9865066509182543,1.4800143097506675,2007
beta,sqrt_advw,730,180,3.0,0.4,M,rank,5000000.0,fund90,1.209326752312416,0.23061509863622967,0.19069709505330845,-0.22417216856346123,8.59984186058206,0.4546937566872452,1.819473235152903,1673
beta,sqrt_advw,730,180,3.0,0.4,M,rank,5000000.0,fund63,1.2091858307601895,0.24323037054221713,0.20115218385357966,-0.22361350563996607,9.459957133891475,0.2569719178534775,1.9911245453500346,1704
beta,eqw_top100,730,180,3.0,0.4,M,q20,20000000.0,fund90,1.2085993004859934,0.39504972511193226,0.3268657568749855,-0.27534035970001347,13.64838115594544,0.9183687898472235,1.4548514949483358,1673
beta,btceth,730,180,3.0,0.6,M,q20,20000000.0,none,1.204740736713997,0.47736329878785844,0.39623736812444443,-0.6267862190022641,18.263642868322442,0.9737132852373177,1.5407326506784143,2007
beta,advw_top100,730,180,3.0,0.4,M,q20,5000000.0,fund63,1.202963540384713,0.31894406369634204,0.26513194539074914,-0.3163597520125662,11.258141429890946,0.42339253865733756,1.807411927128505,1704
beta,eqw_top100,730,180,3.0,0.6,M,q20,20000000.0,fund90,1.2015878969624105,0.38749404922769864,0.3224849802559393,-0.28845140089780685,13.873887145642028,1.0012431096160124,1.3848010700252282,1673
totvol,advw,180,180,,,M,q20,20000000.0,fund90,1.1967632740983711,0.37468111189658754,0.31307871824431466,-0.4764811798585331,11.999690269769648,1.0364787204827188,1.3383491611599652,1673
beta,advw_top100,730,180,3.0,0.4,M,q20,20000000.0,fund63,1.193874966857418,0.3789661749424296,0.3174253464246467,-0.2738459990273985,14.214938805095239,0.7775054101494907,1.5361084244052927,1704
beta,btceth,730,180,3.0,0.4,M,q20,20000000.0,none,1.1936896097696572,0.4738324429252418,0.3969477819419705,-0.6065402010069844,18.54272700353739,0.9228644855302677,1.5446540349714373,2007
beta,eqw_top100,730,180,3.0,1.0,M,q20,50000000.0,none,1.193097449736925,0.7620759896742361,0.6387374223641763,-0.6994911008527218,24.55911597957887,1.1284185378222098,1.293727266682953,2007
